EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_ent,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss
29.86,-114.36,596,596,6.4165520668029785,16139,0.6899803280830383,4.0291004,0.0032147155,0.0,-0.0041280994,24841.248
32.0,-92.5,572,1168,12.594520568847656,32591,0.6890414357185364,4.042219,0.0040564737,0.0,-0.0050008493,22449.07
23.75,-237.25,626,1794,19.131335020065308,49067,0.6725888848304749,4.047682,0.002850695,0.0,-0.0043284986,25001.256
29.75,-119.75,607,2401,25.720125198364258,65300,0.6940128207206726,4.01206,0.0036678049,0.0,-0.0045950487,23253.041
28.01,-154.01,573,2974,31.986911058425903,81699,0.6684491336345673,3.997343,0.0034164963,0.0,-0.004398537,22655.105
28.61,-95.11,608,3582,38.274320125579834,98065,0.7067953944206238,3.9869785,0.0038859213,0.0,-0.0055704713,21894.586
28.8,-104.3,579,4161,44.6621618270874,114493,0.740385890007019,3.9682026,0.0037832707,0.0,-0.005033045,20793.938
28.21,-141.71,580,4741,51.01885151863098,130817,0.7362061142921448,3.9591296,0.0030051563,0.0,-0.004772931,21675.822
25.41,-129.91,626,5367,57.7270188331604,147286,0.7502299696207047,3.9620512,0.0034446782,0.0,-0.0049240226,21423.457
25.38,-173.88,644,6011,64.52533888816833,163692,0.7342619597911835,3.940096,0.003473796,0.0,-0.005837842,21651.434
27.84,-94.34,580,6591,71.01316022872925,180063,0.7291457653045654,3.9454577,0.0028964719,0.0,-0.0046825255,21273.387
27.73,-212.73,602,7193,77.57985424995422,196342,0.7931104600429535,3.943903,0.0027114702,0.0,-0.0045995656,19719.941
30.0,-142.5,582,7775,84.02790784835815,212729,0.8184220045804977,3.944534,0.0025397777,0.0,-0.0045116367,18067.066
22.18,-234.18,640,8415,90.55457735061646,229091,0.8105226755142212,3.934593,0.0023991694,0.0,-0.0046659233,19030.316
29.15,-117.65,598,9013,96.81233549118042,245567,0.7570947408676147,3.9338763,0.0024538864,0.0,-0.004469555,18804.438
31.42,-54.42,587,9600,103.13894391059875,262033,0.7886205166578293,3.9324627,0.0032719,0.0,-0.0040861275,18452.273
26.76,-143.26,596,10196,109.59680819511414,278304,0.7596880942583084,3.9081419,0.002374497,0.0,-0.0047779093,17898.582
29.96,-138.96,585,10781,115.89369177818298,294773,0.7765501439571381,3.8991604,0.0020851488,0.0,-0.0051900735,17150.152
31.84,-126.34,540,11321,122.2403495311737,311122,0.7626993805170059,3.8829806,0.0020334506,0.0,-0.0042505087,17001.469
22.83,-197.33,599,11920,128.54711031913757,327531,0.8103252351284027,3.8822079,0.0020377268,0.0,-0.0038991945,17340.266
